original_feature,unique_feature
gym in building,gym in building
gym/fitness,gym/fitness
hardwood,hardwood
hardwood floor,hardwood
hardwood floors,hardwood
health club,health club
heat/hot water included,heat/hot water included
hi rise,hi rise
high ceiling,high ceiling
high ceilings,high ceiling
high floor,high ceiling
high speed internet,high ceiling
high speed internet available,high ceiling
high-speed internet,high ceiling
highrise,high ceiling
home office,home office
housekeeping + dry cleaning service,housekeeping + dry cleaning service
housekeeping service,housekeeping + dry cleaning service
in-unit washer/dryer,in-unit washer/dryer
indoor pool,indoor pool
indoor swimming pool,indoor pool
intercom,intercom
jacuzzi,jacuzzi
king sized bedroom,king sized bedroom
large living room,large living room
large living-room,large living room
laundry,laundry
laundry & housekeeping,laundry
laundry in building,laundry
laundry in unit,laundry
laundry on every floor,laundry
laundry on floor,laundry
laundry room,laundry
light,light
live in super,live in super
live-in super,live in super
live-in superintendent,live in super
live/work,live in super
loft,loft
lounge,lounge
lounge room,lounge
low fee,low fee
low-rise,low-rise
lowrise,low-rise
luxury building,luxury building
magnificent venetian-style,magnificent venetian-style
mail room,mail room
marble bath,marble bath
marble bathroom,marble bath
media room,media room
media screening room,media room
microwave,microwave
mid-rise,mid-rise
midrise,mid-rise
mint,mint
movie theater,movie theater
multi level,multi level
multi-level,multi level
natural light,natural light
new construction,new construction
new kitchen,new kitchen
newly renovated,newly renovated
no fee,no fee
no pets,no pets
on-site atm,on-site atm
on-site atm machine,on-site atm
on-site attended garage,on-site atm
on-site garage,on-site garage
on-site laundry,on-site laundry
on-site lifestyle concierge by luxury attaché,on-site lifestyle concierge by luxury attaché
on-site parking,on-site parking
on-site parking available,on-site parking
on-site parking lot,on-site parking
on-site super,on-site super
one month fee,one month fee
one month free,one month fee
one month free rent,one month fee
outdoor areas,outdoor areas
outdoor basketball court,outdoor basketball court
outdoor entertainment space,outdoor entertainment space
outdoor pool,outdoor pool
outdoor roof deck overlooking new york harbor and battery park,outdoor roof deck overlooking new york harbor and battery park
outdoor space,outdoor space
outdoor terrace,outdoor terrace
package room,package room
package service,package room
park view,park view
parking,park view
parking available,park view
parking space,park view
part-time doorman,part-time doorman
party room,part-time doorman
patio,patio
penthouse,penthouse
pet friendly,pet friendly
pets,pets
pets allowed,pets
pets on approval,pets
pets: cats/small dogs,pets
playroom,playroom
playroom/nursery,playroom
pool,pool
post war,post war
post-war,post war
postwar,post war
pre war,pre war
pre-war,pre war
prewar,pre war
private backyard,private backyard
private balcony,private backyard
private deck,private deck
private garden,private garden
private laundry room on every floor,private laundry room on every floor
private outdoor space,private outdoor space
private parking,private parking
private roof deck,private roof deck
private roofdeck,private roof deck
private storage,private storage
private terrace,private terrace
private-balcony,private backyard
private-outdoor-space,private outdoor space
publicoutdoor,publicoutdoor
queen size bedrooms,queen size bedrooms
queen sized bedrooms,queen size bedrooms
queen sized rooms,queen size bedrooms
recessed lighting,recessed lighting
reduced fee,reduced fee
renovated,renovated
renovated kitchen,renovated
residents garden,residents garden
residents lounge,residents garden
roof,roof
roof access,roof
roof deck,roof
roof deck with grills,roof
roof decks,roof
roof-deck,roof
roofdeck,roof
rooftop,roof
rooftop deck,roof
rooftop terrace,roof
s/s appliances,s/s appliances
sauna,sauna
screening room,screening room
separate kitchen,separate kitchen
share ok,share ok
shared backyard,share ok
shared garden,share ok
shares ok,share ok
short term allowed,short term allowed
simplex,simplex
skylight,skylight
skylight atrium,skylight
skylights,skylight
skyline view,skylight
southern exposure,southern exposure
spa services,spa services
spacious,spacious
ss appliances,ss appliances
stainless steel,stainless steel
stainless steel appliances,stainless steel
stainless steel kitchen,stainless steel
state-of-the-art fitness center,state-of-the-art fitness center
steam room,steam room
stone countertops,stone countertops
storage,storage
storage available,storage
storage facilities available,storage
storage room,storage
storage space,storage
sublet,sublet
subway,subway
sundeck,sundeck
super on-site,super on-site
swimming pool,swimming pool
tenant lounge,tenant lounge
terrace,terrace
terraces / balconies,terrace
tons of natural light,tons of natural light
townhouse,townhouse
triplex,triplex
twenty-four hour concierge and doorman,twenty-four hour concierge and doorman
unassigned paid parking available nearby,unassigned paid parking available nearby
underground parking,underground parking
utilities included,utilities included
valet,valet
valet laundry,valet
valet parking,valet
valet service,valet
valet services,valet
valet services (housekeeping/dry cleaning available),valet
valet services including dry cleaning,valet
venetian-style lobby,venetian-style lobby
video intercom,video intercom
view,view
virtual doorman,virtual doorman
virtual tour,virtual doorman
walk in closet,walk in closet
walk in closet(s),walk in closet
walk-in closet,walk in closet
walk-up,walk in closet
washer & dryer,washer & dryer
washer in unit,washer & dryer
washer/dryer,washer & dryer
washer/dryer hookup,washer & dryer
washer/dryer in bldg,washer & dryer
washer/dryer in building,washer & dryer
washer/dryer in unit,washer & dryer
washer/dryer in-unit,washer & dryer
water view,water view
wheelchair access,wheelchair access
wheelchair ramp,wheelchair access
wi-fi access,wi-fi access
wifi,wi-fi access
wifi access,wi-fi access
wifi in resident lounge,wi-fi access
wine cooler,wine cooler
wood-burning fireplace,wood-burning fireplace
working fireplace,working fireplace
yard,yard
yoga classes,yoga classes
yoga room,yoga classes
